num_estacion,lat,lon,nombre
137,-34.61576205,-58.36748115,Azopardo y Chile
138,-34.6353595,-58.3876724,Hospital Britanico
139,-34.63330898,-58.41315047,Virrey Liniers
140,-34.63514804,-58.41577504,Las Casas
141,-34.61168053,-58.39045368,Solís y Alsina
142,-34.59055422,-58.4288882,Armenia y Gorriti
143,-34.60467212,-58.41578285,BILLINGHURST Y VALENTÍN GOMEZ
144,-34.60182706,-58.40594241,PUEYRREDÓN
145,-34.58046947,-58.43783661,Ravignani
146,-34.62215313,-58.40781473,Hospital Francés
147,-34.62745541,-58.37910486,Constitución I
148,-34.63592779,-58.43195414,Constitución II
149,-34.61534528,-58.38139954,Lima
150,-34.61809116,-58.3631147,VERA PEÑALOZA
151,-34.6118145,-58.361285,AIME PAINÉ
152,-34.6181645,-58.3596311,JULIETA LANTERI
153,-34.6307765,-58.3620701,JUAN MANUEL DE BLANES
154,-34.60038663,-58.41219481,Gallo
155,-34.6409617,-58.4125606,PARQUE JOSE EVARISTO URIBURU
156,-34.5777193,-58.40771758,Plaza Alemania
157,-34.62830921,-58.42795218,Senillosa y Zuviría
158,-34.59278711,-58.44508418,Villarroel
160,-34.57296237,-58.42021025,Godoy Cruz y Libertador
161,-34.60206791,-58.41967698,Humahuaca
162,-34.608985,-58.401924,LARREA Y BARTOLOMÉ MITRE
163,-34.60946089,-58.4065238,Once II
164,-34.6181442,-58.3669021,FACULTAD DE INGENERIA
165,-34.59740579,-58.40773283,PLAZA MONSEÑOR MIGUEL DE ANDREA
166,-34.58916972,-58.39328408,Cementerio de la Recoleta
167,-34.61106187,-58.43867598,Hipólito Yrigoyen
168,-34.61862083,-58.38125485,Estados Unidos
169,-34.61194751,-58.41190588,Facultad de Psicología
170,-34.59969855,-58.40603426,San Luis y Ecuador
171,-34.60326213,-58.39964108,Pasteur
172,-34.62551659,-58.37103347,Brasil
173,-34.6222964,-58.3751607,PLAZA CECILIA GRIERSON
174,-34.59724324,-58.39165839,Ministerio de Educación
175,-34.61522979,-58.37952077,Constitución
176,-34.6341873,-58.3611029,PINZÓN Y MARTÍN RODRIGUEZ
177,-34.5680445,-58.41211927,Planetario
178,-34.62345741,-58.4248666,José Marmol
179,-34.638989,-58.3605313,LA BOCA
180,-34.61978882,-58.42048148,Castro y México
181,-34.59270936,-58.41197654,Billinghurst y Mansilla
182,-34.57811943,-58.4352401,Ravignani y Guatemala
183,-34.61566852,-58.38983235,Virrey Cevallos
184,-34.6306129,-58.3913419,Pedro Echague
185,-34.63134999,-58.42177629,Av Pavón y 33 Orientales
186,-34.61309344,-58.40679201,Catamarca
187,-34.58526468,-58.44132259,Parque Rivadavia
188,-34.61735964,-58.41199371,Aranguren
189,-34.5885818,-58.38539866,Posadas
190,-34.58507703,-58.41117051,Juncal
191,-34.60808114,-58.38087404,Rivadavia y 9 de Julio
192,-34.59753805,-58.38559495,Talcahuano
193,-34.59098674,-58.40606953,Arenales y Agüero
194,-34.60601414,-58.42251777,PERÓN Y ACUÑA DE FIGUEROA
195,-34.6260785,-58.407389,PLAZA MARTIN FIERRO
196,-34.6275351,-58.3657211,HOSPITAL ARGERICH
197,-34.61352263,-58.42343893,Quintino Bocayuva
199,-34.62234952,-58.41594763,Estados Unidos y Boedo
200,-34.58825983,-58.40411474,Austria y French
201,-34.6034449,-58.378167,Esmeralda y Corrientes
202,-34.583811,-58.390967,FACULTAD DE DERECHO
203,-34.628511,-58.356004,Usina del Arte
204,-34.6148209,-58.4278453,Hipólito Yrigoyen
205,-34.5832733,-58.4279562,F.J.Santamaria de Oro
206,-34.5849119,-58.4372524,Fitz Roy & Gorriti
207,-34.5852485,-58.420906,Armenia
208,-34.5804702,-58.4379925,RAVIGNANI
210,-34.572132,-58.4113228,General Urquiza
211,-34.6266267,-58.3879696,Plaza Garay
212,-34.600164,-58.434983,Velasco
213,-34.5995649,-58.4425362,Acevedo
214,-34.5905808,-58.4289624,Armenia y Gorriti
215,-34.5858843,-58.4251226,Guatemala
216,-34.5900976,-58.4114907,Coronel Diaz
217,-34.6342818,-58.4042123,HOSPITAL SARDÁ
218,-34.638523,-58.425464,Senillosa
219,-34.6351732,-58.4157035,Las Casas
220,-34.6354717,-58.4279173,Avelino Diaz
221,-34.6280441,-58.4274042,Senillosa y Zuviria
222,-34.5727715,-58.4206642,Godoy Cruz y Libertador
223,-34.623456,-58.424895,José Marmol
224,-34.5808537,-58.434484,Nicaragua
225,-34.5968511,-58.4295184,Lerma
